,Geography,Gender,HasCrCard,IsActiveMember,AgeBins,CreditScore,Balance,EstimatedSalary,Tenure,NumOfProducts,Age,Exited
0,France,Female,1,0,"(49, 69]",0.37933981704027686,0.07301751818879974,0.5518419495080015,0.7042036991760274,-0.9155620904513002,2.0860888256481567,1
1,France,Male,1,1,"(49, 69]",0.19221612729841142,1.1788530734991534,0.43966969933907474,-0.3417913271853092,2.5144270094465337,1.0423598893008894,1
2,Germany,Female,0,0,"(29, 49]",1.5228734765738992,0.12124773973663308,-0.521208786237334,1.750198725537364,-0.9155620904513002,-0.5706757395994327,0
3,France,Female,0,1,"(49, 69]",-1.5438758830844517,1.0181894710673183,0.0233177005389881,-0.6904563359724214,-0.9155620904513002,2.370742171924684,0
4,France,Male,0,0,"(29, 49]",-0.4315295051744735,0.6801971326085157,-1.6712171190513623,0.7042036991760274,-0.9155620904513002,-0.6655601883582752,0
5,Germany,Male,1,0,"(29, 49]",-1.8453529387796792,1.224615369212039,-0.4635521851330875,1.0528687079631396,0.7994324594976167,0.09351540171246463,0
6,France,Male,0,0,"(29, 49]",0.04667547972140493,-1.2144756346386467,0.1895389819045066,-0.3417913271853092,0.7994324594976167,-0.09625349580522034,0
7,France,Female,1,1,"(29, 49]",2.0010784614697776,0.9418426714846162,-1.5493566194919757,1.0528687079631396,-0.9155620904513002,-0.09625349580522034,0
8,France,Female,1,0,"(29, 49]",0.9199193651834439,-1.2144756346386467,1.6024598045621576,1.0528687079631396,0.7994324594976167,-0.19113794456406283,1
9,Germany,Male,1,1,"(17, 29]",1.6996014057745499,0.8951800416415051,0.8376113912891389,-1.387786353546646,0.7994324594976167,-0.9502135346348027,0
10,Spain,Female,1,1,"(17, 29]",-0.784985363575775,0.4677254715960727,-1.137961476497627,1.0528687079631396,-0.9155620904513002,-1.6144046759467001,0
11,France,Female,1,0,"(29, 49]",0.6184423094882161,-1.2144756346386467,-1.3875877374701697,-1.387786353546646,0.7994324594976167,-0.7604446371171177,0
12,Germany,Female,1,0,"(49, 69]",0.7847744781476521,0.5039421793146319,0.7198058986514264,1.0528687079631396,0.7994324594976167,1.137244338059732,1
13,Germany,Female,1,1,"(49, 69]",0.9303151257246586,0.5981239713640912,-0.6022131947718713,-0.6904563359724214,0.7994324594976167,1.706551030612787,1
